nome;marca;descrição;categoria;animais_alvo;url_imagem
Areia Higiênica Pipicat Classic (4kg);Pipicat;Granulado sanitário natural de alta absorção que forma torrões firmes.;Higiene;Gatos;
Arranhador Torre de Sisal (Médio);São Pet;Poste de sisal com base para gatos afiarem as unhas e se espreguiçarem.;Bem-estar;Gatos;
Banheira Externa (Pássaros);Toco Tucano;Banheira de plástico para encaixar na porta da gaiola.;Higiene;Pássaros;
Bebedouro Automático para Roedores (250ml);Chalesco;Bebedouro tipo bilha (bico de aço) para gaiolas.;Alimentação;Roedores;
Bebedouro Kotori K42 55ml (Malha Fina);Pássaro Forte;Bebedouro pequeno para gaiolas de malha fina (canários, periquitos).;Alimentação;Pássaros;
Bola de Tênis (Tamanho M);Kong;Brinquedo de bola de tênis com apito, não abrasiva para os dentes.;Brinquedo;Cães;
Brinquedo Kong Classic (Vermelho M);Kong;Brinquedo de borracha resistente, pula de forma imprevisível. Ideal para rechear.;Brinquedo;Cães;
Caixa de Areia Fechada (Bandeja);Furacão Pet;Banheiro fechado para gatos com porta basculante e filtro de carvão ativado.;Higiene;Gatos;
Caixa de Transporte (Tamanho 4);Gulliver;Caixa de plástico resistente aprovada para transporte aéreo (IATA).;Viagem;Cães;
Cama Suspensa (Tamanho G);Mec G;Cama elevada que permite a circulação de ar, resistente e lavável.;Descanso;Cães;
Casinha de Madeira (Hamster);Toca do Bicho;Pequena casa de madeira (pinus) para roedores dormirem e se aninharem.;Habitat;Roedores;
Coleira Peitoral Mesh (Preta);Zee.Dog;Peitoral para passeio, antitranspirante, com fecho de 4 pontos.;Passeio;Cães;
Comedouro Lento (Laranja);Pet Games;Comedouro em formato interativo que reduz a velocidade de alimentação.;Alimentação;Cães;
Feno de Alfafa (400g);Majestic;Alimento essencial para desgaste dos dentes e saúde intestinal de coelhos e porquinhos-da-índia;Alimentação;Roedores;
Filtro Externo Hang-On (HF-400);Atman;"Filtro externo tipo ""cascata"" para aquários de médio porte (até 80L).";Habitat;Peixes;
Fonte de Água (Bivolt);Amicus;Bebedouro tipo fonte que estimula gatos a beberem mais água.;Alimentação;Gatos;
Guia para Cães Gotham Preta (Tamanho P);Zee.Dog;Guia de poliéster com gancho super resistente e design ergonômico.;Passeio;Cães;
Lâmpada UVB 10.0 (26W);Zoo Med;Lâmpada emissora de raios UVB, essencial para répteis (ex: jabutis, iguanas).;Habitat;Todos;
Ninho de Madeira (Periquito);Bragança;Caixa-ninho de madeira para reprodução de periquitos australianos.;Habitat;Pássaros;
Osso de Siba;Pássaro Forte;Fonte natural de cálcio para aves, auxilia no desgaste do bico.;Saúde;Pássaros;
Pá Coletora Higiênica;Chalesco;Pá plástica para facilitar a limpeza da caixa de areia.;Higiene;Gatos;
Pó de Banho (Banho Seco);Pássaro Forte;Carbonato de cálcio (pó) para banho seco de chinchilas e hamsters.;Higiene;Roedores;
Rasqueadeira de Aço;Furminator;Ferramenta profissional para remoção de pelos mortos e subpelos.;Higiene;Cães;
Ratinho de Catnip (Unidade);Petstages;Brinquedo em formato de rato recheado com Catnip (erva-do-gato).;Brinquedo;Gatos;
Roda de Exercício para Hamster (Acrílico);Savic;Roda silenciosa para hamster sírio e anão se exercitarem na gaiola.;Habitat;Roedores;
Serragem Prensada (Pacote 1kg);Prensado;Substrato de madeira para forração de gaiolas de hamsters e coelhos.;Higiene;Roedores;
Shampoo Neutro (500ml);Pet Society;Shampoo de limpeza profunda com pH balanceado, sem sal.;Higiene;Cães, Gatos;
Tapete Higiênico Super Secão (30 unid);Super Secão;Tapete descartável com atrativo canino e gel de alta absorção.;Higiene;Cães;
Termostato com Aquecedor (50W);Hopar;Equipamento para aquecer e manter a temperatura da água do aquário.;Habitat;Peixes;
Túnel Dobrável (3 Saídas);Chalesco;Túnel de nylon dobrável para gatos brincarem e se esconderem.;Brinquedo;Gatos;
