Nome;Marca;Descrição;Categoria;animais_alvo
Advocate Cães (4-10kg);Elanco;Pipeta tópica. Proteção contra pulgas, vermes intestinais e prevenção do verme do coração.;Antipulgas e Carrapatos;Cães
Albendazol 10% (Oral);Zoetis;Vermífugo oral de amplo espectro para o controle de vermes gastrointestinais e pulmonares.;Vermífugo;Bovinos, Caprinos
Alergovet C 0.7mg (10 Comp);Coveli;Anti-histamínico (Clemastina) para tratamento de condições alérgicas e dermatites.;Alergia/Dermatológico;Todos
Apoquel 5.4mg (20 Comp);Zoetis;Controle rápido da coceira (prurido) associada a dermatites alérgicas.;Alergia/Dermatológico;Cães
Avitrin Complexo Vitamínico;Coveli;Suplemento vitamínico para aves, indicado para fases de crescimento, troca de penas ou estresse.;Suplemento;Pássaros
Baytril Flavour 50mg (10 Comp);Elanco;Antibiótico (Enrofloxacina) de amplo espectro para infecções de pele, respiratórias e urinárias.;Antibiótico;Todos
Bravecto Cães 10-20kg (1 Comp);MSD Saúde Animal;Comprimido mastigável para 12 semanas contra pulgas e carrapatos.;Antipulgas e Carrapatos;Cães
Bravecto Gatos Transdermal (2.8-6.25kg);MSD Saúde Animal;Pipeta de uso tópico para gatos. Proteção de 12 semanas.;Antipulgas e Carrapatos;Gatos
CalmVet (30 Comp);Biofarm;Suplemento tranquilizante contendo Triptofano, indicado para situações de estresse (viagens, fogos).;Suplemento Calmante;Todos
Cerenia 16mg (4 Comp);Zoetis;Anti-hemético (Maropitant) para prevenção e tratamento de vômito agudo em cães.;Medicamento Gastrointestinal;Cães
Condroton 1000mg (60 Comp);Vetnil;Suplemento alimentar contendo Condroitina e Glicosamina, para auxílio na saúde articular.;Suplemento Articular;Cães
Doxifin 100mg (14 Comp);Ourofino;Doxiciclina. Indicado para tratamento de infecções bacterianas, incluindo Erliquiose.;Antibiótico;Todos
Drontal Gatos (4 Comp);Elanco;Vermífugo de amplo espectro para vermes chatos e redondos em gatos.;Vermífugo;Gatos
